Count,Time
1,05:29:33PM
1,05:29:37PM
1,05:29:39PM
1,05:29:41PM
1,05:31:19PM
1,05:31:26PM
1,05:31:30PM
1,05:31:32PM
1,04:28:38PM
1,04:28:39PM
1,04:28:40PM
1,04:28:40PM
1,04:28:55PM
1,04:28:56PM
1,04:28:56PM
1,04:28:57PM
1,04:28:58PM
1,04:28:58PM
1,04:28:59PM
1,04:28:59PM
1,04:29:00PM
1,04:29:01PM
1,04:29:11PM
1,04:29:12PM
1,03:48:59PM
1,03:49:30PM
1,03:49:52PM
1,03:50:00PM
1,07:53:52PM
1,07:54:15PM
1,07:54:37PM
1,07:54:59PM
1,07:55:21PM
1,07:55:44PM
1,07:56:06PM
1,07:56:06PM
1,07:56:30PM
1,07:56:30PM
1,07:56:52PM
1,07:57:15PM
1,07:57:38PM
1,07:58:01PM
1,01:12:41PM
1,01:13:25PM
1,01:13:48PM
1,01:14:11PM
1,01:14:34PM
1,01:35:11PM
1,01:35:12PM
1,01:35:14PM
1,01:35:15PM
1,01:35:16PM
1,01:35:16PM
1,01:35:17PM
1,01:35:17PM
1,01:35:18PM
1,01:35:19PM
1,01:35:20PM
1,01:35:21PM
1,01:35:21PM
1,01:35:22PM
1,11:32:57AM
1,11:35:12AM
1,11:35:13AM
1,11:35:13AM
1,11:35:14AM
1,11:35:15AM
1,11:35:15AM
1,11:35:16AM
1,11:35:16AM
1,11:35:17AM
1,11:35:17AM
1,11:35:17AM
1,11:35:21AM
1,11:35:22AM
1,11:35:22AM
1,11:35:23AM
1,11:35:23AM
1,11:35:24AM
1,11:35:24AM
1,11:35:25AM
1,11:35:25AM
1,11:35:26AM
1,11:35:26AM
1,11:35:27AM
1,11:35:27AM
1,11:35:28AM
1,11:35:28AM
1,11:35:29AM
1,11:35:29AM
1,11:35:30AM
1,11:35:30AM
1,11:35:31AM
1,11:35:32AM
1,11:57:38AM
1,11:57:39AM
1,11:57:39AM
1,11:57:40AM
1,11:57:43AM
1,11:57:44AM
1,11:57:45AM
1,11:57:46AM
1,11:57:47AM
1,11:57:47AM
1,11:57:48AM
1,11:57:48AM
1,11:57:49AM
1,11:57:50AM
1,11:57:50AM
1,11:57:51AM
1,11:57:52AM
1,11:57:52AM
1,11:57:53AM
1,11:57:53AM
1,11:57:54AM
1,11:57:54AM
1,11:57:55AM
1,11:57:56AM
1,11:58:00AM
1,11:58:01AM
1,11:58:02AM
1,11:58:02AM
1,11:58:03AM
1,11:58:03AM
1,11:58:04AM
1,11:58:04AM
1,11:58:05AM
1,11:58:06AM
1,11:58:06AM
1,11:58:06AM
1,11:58:07AM
1,11:58:07AM
1,11:58:08AM
1,11:58:08AM
1,11:58:09AM
1,11:58:09AM
1,11:58:10AM
1,11:58:10AM
1,11:58:10AM
1,11:58:11AM
1,11:58:11AM
1,11:58:12AM
1,11:58:12AM
1,11:58:13AM
1,11:58:13AM
1,11:58:14AM
1,11:58:14AM
1,11:58:15AM
1,11:58:15AM
1,11:58:16AM
1,11:58:16AM
1,11:58:17AM
1,11:58:18AM
1,11:58:18AM
1,11:58:19AM
1,11:58:19AM
1,11:58:19AM
1,11:58:20AM
1,11:58:21AM
1,11:58:21AM
1,11:58:22AM
1,11:58:22AM
1,11:58:23AM
1,11:58:23AM
1,11:58:24AM
1,11:58:24AM
1,11:58:25AM
1,11:58:25AM
1,11:58:26AM
1,11:58:26AM
1,11:58:27AM
1,11:58:27AM
1,11:58:28AM
1,11:58:29AM
1,11:58:30AM
1,11:58:30AM
1,11:58:31AM
1,11:58:31AM
1,11:58:32AM
1,11:58:32AM
1,11:58:33AM
1,11:58:34AM
1,11:58:34AM
1,11:58:35AM
1,11:58:35AM
1,11:58:36AM
1,11:58:36AM
1,11:58:37AM
1,11:58:37AM
1,05:22:57PM
1,05:22:57PM
1,05:22:58PM
1,05:22:59PM
1,05:22:59PM
1,05:23:00PM
1,05:23:00PM
1,05:23:01PM
1,05:23:02PM
1,05:23:04PM
1,05:23:06PM
1,05:23:06PM
1,05:23:07PM
1,05:23:07PM
1,05:23:08PM
1,05:23:09PM
1,05:23:10PM
1,05:23:11PM
1,05:23:12PM
1,05:23:12PM
1,05:23:13PM
1,05:23:14PM
1,05:23:15PM
1,05:23:16PM
1,05:23:18PM
1,05:23:19PM
1,05:23:21PM
1,05:23:21PM
1,05:23:23PM
1,05:23:24PM
1,05:23:24PM
1,05:23:24PM
1,05:23:25PM
1,05:23:26PM
1,05:23:27PM
1,05:23:28PM
1,05:23:28PM
1,05:23:29PM
1,05:23:29PM
1,05:23:30PM
1,05:23:30PM
1,05:23:31PM
1,05:23:31PM
1,05:23:32PM
1,05:23:33PM
1,05:23:33PM
1,05:23:34PM
1,05:23:34PM
1,05:23:35PM
1,05:23:36PM
1,05:23:36PM
1,05:23:37PM
1,05:23:37PM
1,05:23:40PM
1,05:23:40PM
1,05:23:41PM
1,05:23:42PM
1,05:23:43PM
1,05:23:43PM
1,05:23:44PM
1,05:23:46PM
1,05:23:47PM
1,05:23:48PM
1,05:23:48PM
1,05:23:49PM
